Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
311,Tully,"$466,664","$466,664",100%,-,-,2002.csv,2002
312,Demonlover,"$462,976","$232,044",50.1%,"$230,932",49.9%,2002.csv,2002
313,The Safety of Objects,"$453,292","$319,299",70.4%,"$133,993",29.6%,2002.csv,2002
314,Ten,"$452,895","$105,990",23.4%,"$346,905",76.6%,2002.csv,2002
315,I Am Trying to Break Your Heart,"$445,522","$445,522",100%,-,-,2002.csv,2002
316,Chaos 2002 Re-release,"$434,432","$206,789",47.6%,"$227,643",52.4%,2002.csv,2002
317,Promises,"$430,862","$247,948",57.5%,"$182,914",42.5%,2002.csv,2002
318,Taking Sides,"$422,832","$188,952",44.7%,"$233,880",55.3%,2002.csv,2002
319,Madame Satã,"$419,046","$198,309",47.3%,"$220,737",52.7%,2002.csv,2002
320,El bonaerense,"$410,474","$9,470",2.3%,"$401,004",97.7%,2002.csv,2002
321,Le Cercle Rouge,"$407,878","$369,970",90.7%,"$37,908",9.3%,2002.csv,2002
322,Cinema Paradiso 2002 Re-release,"$406,809","$406,809",100%,-,-,2002.csv,2002
323,The Mystic Masseur,"$399,110","$399,110",100%,-,-,2002.csv,2002
324,Very Annie Mary,"$396,090","$46,352",11.7%,"$349,738",88.3%,2002.csv,2002
325,Jee Aayan Nu,"$393,117","$393,117",100%,-,-,2002.csv,2002
326,The Embalmer,"$384,336","$56,878",14.8%,"$327,458",85.2%,2002.csv,2002
327,"Scotland, Pa.","$384,098","$384,098",100%,-,-,2002.csv,2002
328,The Children of the Century,"$381,624","$56,611",14.8%,"$325,013",85.2%,2002.csv,2002
329,Waking Up in Reno,"$374,312","$267,109",71.4%,"$107,203",28.6%,2002.csv,2002
330,Happy Times,"$361,000","$240,093",66.5%,"$120,907",33.5%,2002.csv,2002
331,American Adobo,"$344,992","$344,992",100%,-,-,2002.csv,2002
332,Lawrence of Arabia 2002 Re-release,"$342,481","$342,481",100%,-,-,2002.csv,2002
333,Dangerous People,"$341,280","$341,280",100%,-,-,2002.csv,2002
334,The Last Waltz 2002 Re-release,"$337,085","$322,313",95.6%,"$14,772",4.4%,2002.csv,2002
335,Pumpkin,"$308,552","$308,552",100%,-,-,2002.csv,2002
336,Never Again,"$307,631","$307,631",100%,-,-,2002.csv,2002
337,Kedma,"$299,293","$10,067",3.4%,"$289,226",96.6%,2002.csv,2002
338,Festival in Cannes,"$299,171","$299,171",100%,-,-,2002.csv,2002
339,Power and Terror: Noam Chomsky in Our Times,"$290,767","$290,767",100%,-,-,2002.csv,2002
340,Scratch,"$289,885","$289,885",100%,-,-,2002.csv,2002
341,Green Dragon,"$281,803","$281,803",100%,-,-,2002.csv,2002
342,Zus & Zo,"$281,219","$49,468",17.6%,"$231,751",82.4%,2002.csv,2002
343,Who Is Cletis Tout?,"$280,458","$252,706",90.1%,"$27,752",9.9%,2002.csv,2002
344,Seven Samurai 2002 Re-release,"$275,965","$271,841",98.5%,"$4,124",1.5%,2002.csv,2002
345,Rishtey,"$270,929","$119,537",44.1%,"$151,392",55.9%,2002.csv,2002
346,Circuit,"$261,155","$235,087",90%,"$26,068",10%,2002.csv,2002
347,Sex with Strangers,"$254,852","$254,852",100%,-,-,2002.csv,2002
348,Skins,"$249,204","$249,204",100%,-,-,2002.csv,2002
349,Charlotte Sometimes,"$247,554","$150,445",60.8%,"$97,109",39.2%,2002.csv,2002
350,"Ram Dass, Fierce Grace","$238,260","$238,260",100%,-,-,2002.csv,2002
351,Swimming,"$234,287","$234,287",100%,-,-,2002.csv,2002
352,Les destinées,"$230,900","$230,900",100%,-,-,2002.csv,2002
353,Murderous Maids,"$225,390","$225,390",100%,-,-,2002.csv,2002
354,Love Liza,"$223,426","$213,137",95.4%,"$10,289",4.6%,2002.csv,2002
355,Secret Things,"$222,396","$105,090",47.3%,"$117,306",52.7%,2002.csv,2002
356,The Cockettes,"$220,165","$220,165",100%,-,-,2002.csv,2002
357,The Château,"$213,598","$202,272",94.7%,"$11,326",5.3%,2002.csv,2002
358,Cherish,"$179,751","$179,751",100%,-,-,2002.csv,2002
359,Lagaan: Once Upon a Time in India 2002 Re-release,"$178,072","$73,276",41.1%,"$104,796",58.9%,2002.csv,2002
360,Tarkovsky At 70,"$177,345","$177,345",100%,-,-,2002.csv,2002
361,The Business of Fancydancing,"$175,710","$175,710",100%,-,-,2002.csv,2002
362,North Station,"$171,400","$171,400",100%,-,-,2002.csv,2002
363,Ziggy Stardust and the Spiders from Mars,"$167,239","$162,547",97.2%,"$4,692",2.8%,2002.csv,2002
364,Hybrid,"$164,386","$164,386",100%,-,-,2002.csv,2002
365,Stolen Summer,"$163,348","$134,736",82.5%,"$28,612",17.5%,2002.csv,2002
366,Till Human Voices Wake Us,"$157,720","$120,601",76.5%,"$37,119",23.5%,2002.csv,2002
367,Derrida,"$157,200","$157,200",100%,-,-,2002.csv,2002
368,Pépé le Moko,"$155,895","$155,895",100%,-,-,2002.csv,2002
369,Naqoyqatsi,"$155,640","$133,058",85.5%,"$22,582",14.5%,2002.csv,2002
370,Pantaleón y las visitadoras,"$154,976","$43,214",27.9%,"$111,762",72.1%,2002.csv,2002
371,Hansel & Gretel,"$154,642","$154,642",100%,-,-,2002.csv,2002
372,Quai des Orfèvres,"$152,961","$152,961",100%,-,-,2002.csv,2002
373,Invincible,"$150,143","$81,954",54.6%,"$68,189",45.4%,2002.csv,2002
374,Bartleby,"$148,479","$148,479",100%,-,-,2002.csv,2002
375,Biggie and Tupac,"$146,419","$94,874",64.8%,"$51,545",35.2%,2002.csv,2002
376,Dahmer,"$144,008","$144,008",100%,-,-,2002.csv,2002
377,The Wizard of Oz 2002 Re-release,"$139,905","$139,905",100%,-,-,2002.csv,2002
378,Beauty and the Beast 2002 Re-release,"$138,503","$138,503",100%,-,-,2002.csv,2002
379,Time of Favor,"$137,340","$137,340",100%,-,-,2002.csv,2002
380,Road,"$136,700","$136,700",100%,-,-,2002.csv,2002
381,The Cherry Orchard,"$135,280","$135,280",100%,-,-,2002.csv,2002
382,A Shot at Glory,"$133,122","$133,122",100%,-,-,2002.csv,2002
383,Sonny,"$132,221","$30,005",22.7%,"$102,216",77.3%,2002.csv,2002
384,Maryam,"$129,265","$129,265",100%,-,-,2002.csv,2002
385,American Chai,"$127,518","$127,518",100%,-,-,2002.csv,2002
386,O Fantasma,"$126,783","$126,783",100%,-,-,2002.csv,2002
387,Singin' in the Rain 2002 Re-release,"$124,382","$120,420",96.8%,"$3,962",3.2%,2002.csv,2002
388,Secret Ballot,"$122,875","$114,909",93.5%,"$7,966",6.5%,2002.csv,2002
389,Fidel,"$121,304","$121,304",100%,-,-,2002.csv,2002
390,Amy's Orgasm,"$119,664","$119,664",100%,-,-,2002.csv,2002
391,The Komediant,"$119,506","$119,506",100%,-,-,2002.csv,2002
392,Home Movie,"$119,052","$119,052",100%,-,-,2002.csv,2002
393,Seaside,"$113,724","$15,290",13.4%,"$98,434",86.6%,2002.csv,2002
394,Food of Love,"$113,164","$43,922",38.8%,"$69,242",61.2%,2002.csv,2002
395,The Producers,"$111,866","$111,866",100%,-,-,2002.csv,2002
396,Hometown Legend,"$111,806","$111,806",100%,-,-,2002.csv,2002
397,Big Bad Love,"$104,294","$104,294",100%,-,-,2002.csv,2002
398,World Traveler,"$103,863","$103,863",100%,-,-,2002.csv,2002
399,30 Years to Life,"$103,540","$103,540",100%,-,-,2002.csv,2002
400,Sade,"$100,544","$100,544",100%,-,-,2002.csv,2002
401,Carnage,"$99,049","$60,158",60.7%,"$38,891",39.3%,2002.csv,2002
402,Handcart,"$98,666","$98,666",100%,-,-,2002.csv,2002
403,On Guard,"$97,552","$97,552",100%,-,-,2002.csv,2002
404,Kehtaa Hai Dil Baar Baar,"$95,415","$95,415",100%,-,-,2002.csv,2002
405,Escaflowne: The Movie,"$94,060","$94,060",100%,-,-,2002.csv,2002
406,Borstal Boy,"$87,400","$87,400",100%,-,-,2002.csv,2002
407,War Photographer,"$86,863","$61,040",70.3%,"$25,823",29.7%,2002.csv,2002
408,The Good Old Naughty Days,"$85,006","$60,862",71.6%,"$24,144",28.4%,2002.csv,2002
409,Baraka 2002 Re-release,"$77,873","$77,873",100%,-,-,2002.csv,2002
410,Widespread Panic: The Earth Will Swallow You,"$75,204","$75,204",100%,-,-,2002.csv,2002
411,Umberto D.,"$71,816","$71,816",100%,-,-,2002.csv,2002
412,Snipes,"$70,569","$70,569",100%,-,-,2002.csv,2002
413,BBC2 Play of the Week: Langrishe Go Down,"$69,338","$69,338",100%,-,-,2002.csv,2002
414,Girls Can't Swim,"$69,250","$69,250",100%,-,-,2002.csv,2002
415,Bundy,"$68,716","$6,073",8.8%,"$62,643",91.2%,2002.csv,2002
416,Spooky House,"$65,238","$65,238",100%,-,-,2002.csv,2002
417,Gaudi Afternoon,"$65,115","$5,858",9%,"$59,257",91%,2002.csv,2002
418,Just a Kiss,"$64,389","$64,389",100%,-,-,2002.csv,2002
419,Nijinsky: The Diaries of Vaslav Nijinsky,"$63,364","$55,968",88.3%,"$7,396",11.7%,2002.csv,2002
420,No Such Thing,"$62,703","$62,703",100%,-,-,2002.csv,2002
421,Chelsea Walls,"$60,902","$60,902",100%,-,-,2002.csv,2002
422,Ikiru,"$60,239","$60,239",100%,-,-,2002.csv,2002
423,Harvard Man,"$56,653","$56,653",100%,-,-,2002.csv,2002
424,Ciao America,"$54,965","$54,965",100%,-,-,2002.csv,2002
425,Hush!,"$52,462","$21,278",40.6%,"$31,184",59.4%,2002.csv,2002
426,In My Skin,"$52,231","$31,046",59.4%,"$21,185",40.6%,2002.csv,2002
427,Agnivarsha: The Fire and the Rain,"$51,549","$51,549",100%,-,-,2002.csv,2002
428,Da wan,"$51,059",$820,1.6%,"$50,239",98.4%,2002.csv,2002
429,How to Kill Your Neighbor's Dog,"$49,894","$49,894",100%,-,-,2002.csv,2002
430,Bolivar Is Me,"$48,911","$48,911",100%,-,-,2002.csv,2002
431,Interview with the Assassin,"$48,058","$48,058",100%,-,-,2002.csv,2002
432,Ivansxtc,"$47,027","$47,027",100%,-,-,2002.csv,2002
433,Etoiles: Dancers of the Paris Opera Ballet,"$46,412","$46,412",100%,-,-,2002.csv,2002
434,New Best Friend,"$46,375","$46,375",100%,-,-,2002.csv,2002
435,A Grin Without A Cat,"$43,616","$43,616",100%,-,-,2002.csv,2002
436,Bolivia,"$42,451","$33,098",78%,"$9,353",22%,2002.csv,2002
437,Blackboards,"$41,772","$23,520",56.3%,"$18,252",43.7%,2002.csv,2002
438,A Rumor of Angels,"$38,610","$38,610",100%,-,-,2002.csv,2002
439,All About Lily Chou-Chou,"$38,082","$26,485",69.5%,"$11,597",30.5%,2002.csv,2002
440,Gangster No. 1,"$30,915","$30,915",100%,-,-,2002.csv,2002
441,Teddy Bears' Picnic,"$28,149","$28,149",100%,-,-,2002.csv,2002
442,"Massoud, the Afghan 2002 Re-release","$26,747","$26,747",100%,-,-,2002.csv,2002
443,Quitting,"$25,717","$18,531",72.1%,"$7,186",27.9%,2002.csv,2002
444,The Isle,"$24,963","$20,666",82.8%,"$4,297",17.2%,2002.csv,2002
445,Horses: The Story of Equus,"$24,716",-,-,"$24,716",100%,2002.csv,2002
446,Liars Club,"$23,792","$23,792",100%,-,-,2002.csv,2002
447,Esther Kahn,"$23,371","$23,371",100%,-,-,2002.csv,2002
448,Cuba feliz,"$22,071","$22,071",100%,-,-,2002.csv,2002
449,Master of the Flying Guillotine,"$21,779","$21,779",100%,-,-,2002.csv,2002
450,Crazy as Hell,"$21,679","$21,679",100%,-,-,2002.csv,2002
451,"Sia, the Dream of the Python","$19,830","$4,662",23.5%,"$15,168",76.5%,2002.csv,2002
452,Devils on the Doorstep,"$18,944","$18,944",100%,-,-,2002.csv,2002
453,Love and a Bullet,"$18,926","$18,926",100%,-,-,2002.csv,2002
454,Hell House,"$18,279","$18,279",100%,-,-,2002.csv,2002
455,Scarlet Diva,"$18,062","$18,062",100%,-,-,2002.csv,2002
456,Night at the Golden Eagle,"$17,643","$17,643",100%,-,-,2002.csv,2002
457,A Skin Too Few: The Days of Nick Drake,"$17,384","$17,384",100%,-,-,2002.csv,2002
458,Vulgar,"$15,927","$15,927",100%,-,-,2002.csv,2002
459,Bobby G. Can't Swim,"$15,900","$15,900",100%,-,-,2002.csv,2002
460,Last Dance,"$15,515","$15,515",100%,-,-,2002.csv,2002
461,Pipe Dream,"$15,430","$15,430",100%,-,-,2002.csv,2002
462,Keeper of the Flame,"$15,392",-,-,"$15,392",100%,2002.csv,2002
463,The Next Big Thing,"$14,600","$14,600",100%,-,-,2002.csv,2002
464,The Settlers,"$14,556","$14,556",100%,-,-,2002.csv,2002
465,Lansdown,"$12,614","$12,614",100%,-,-,2002.csv,2002
466,Shaye & Kiki,"$12,000","$12,000",100%,-,-,2002.csv,2002
467,Yellow Asphalt,"$11,907","$11,907",100%,-,-,2002.csv,2002
468,Smokers Only,"$11,871","$11,871",100%,-,-,2002.csv,2002
469,Janice Beard,"$11,816","$11,816",100%,-,-,2002.csv,2002
470,Crop Circles: Quest for Truth,"$11,562","$11,562",100%,-,-,2002.csv,2002
471,The Mesmerist,"$11,422","$11,422",100%,-,-,2002.csv,2002
472,Family Fundamentals,"$11,344","$11,344",100%,-,-,2002.csv,2002
473,Love in the Time of Money,"$10,410","$10,410",100%,-,-,2002.csv,2002
474,Revolution #9,"$10,133","$10,133",100%,-,-,2002.csv,2002
475,Take Care of My Cat,"$9,866","$9,866",100%,-,-,2002.csv,2002
476,Il Posto,"$9,080","$9,080",100%,-,-,2002.csv,2002
477,The Rising Place,"$8,360","$8,360",100%,-,-,2002.csv,2002
478,The Dogwalker,"$7,420","$7,420",100%,-,-,2002.csv,2002
479,Group,"$7,281","$7,281",100%,-,-,2002.csv,2002
480,Buddha Heads,"$6,739","$6,739",100%,-,-,2002.csv,2002
481,Forty Guns,"$6,344",-,-,"$6,344",100%,2002.csv,2002
482,All My Loved Ones,"$6,237","$6,237",100%,-,-,2002.csv,2002
483,The Phantom of Liberty,"$6,172","$6,172",100%,-,-,2002.csv,2002
484,The First $20 Million Is Always the Hardest,"$5,491","$5,491",100%,-,-,2002.csv,2002
485,Perfect Pie,"$5,000","$5,000",100%,-,-,2002.csv,2002
486,Secret Society,"$4,725","$4,725",100%,-,-,2002.csv,2002
487,My Kingdom,"$4,296","$4,296",100%,-,-,2002.csv,2002
488,Hera Purple,"$4,123","$4,123",100%,-,-,2002.csv,2002
489,Caravaggio,"$3,774","$3,774",100%,-,-,2002.csv,2002
490,Revolution OS,"$3,500","$3,500",100%,-,-,2002.csv,2002
491,Looking Through Lillian,"$3,300","$3,300",100%,-,-,2002.csv,2002
492,A Cuban Legend,"$3,212","$3,212",100%,-,-,2002.csv,2002
493,Tattoo Bar,"$2,964","$2,964",100%,-,-,2002.csv,2002
494,Ash Wednesday,"$2,942","$2,942",100%,-,-,2002.csv,2002
495,Dead or Alive: Final,"$2,591","$2,591",100%,-,-,2002.csv,2002
496,Standing by Yourself,"$2,500","$2,500",100%,-,-,2002.csv,2002
497,Zig Zag,"$2,418","$2,418",100%,-,-,2002.csv,2002
498,Virgil Bliss,"$2,219","$2,219",100%,-,-,2002.csv,2002
499,The 4th Tenor,"$2,152","$2,152",100%,-,-,2002.csv,2002
500,Stripped,"$2,151","$2,151",100%,-,-,2002.csv,2002
501,Stealing the Fire,"$2,139","$2,139",100%,-,-,2002.csv,2002
502,Some Body,"$2,042","$2,042",100%,-,-,2002.csv,2002
503,Choice of Weapons,"$2,032","$2,032",100%,-,-,2002.csv,2002
504,Mr. Smith Gets a Hustler,"$1,915","$1,915",100%,-,-,2002.csv,2002
505,By Hook or by Crook,"$1,802","$1,802",100%,-,-,2002.csv,2002
506,The Opera Lover,"$1,798","$1,798",100%,-,-,2002.csv,2002
507,Mama Africa,"$1,581","$1,581",100%,-,-,2002.csv,2002
508,Blackwoods,"$1,500","$1,500",100%,-,-,2002.csv,2002
509,Heartbreak Hospital,"$1,480","$1,480",100%,-,-,2002.csv,2002
510,The Execution of Wanda Jean,"$1,386","$1,386",100%,-,-,2002.csv,2002
511,Besotted,"$1,379","$1,379",100%,-,-,2002.csv,2002
512,The Jimmy Show,"$1,000","$1,000",100%,-,-,2002.csv,2002
513,The Lonely Affair of the Heart,$932,$932,100%,-,-,2002.csv,2002
1,The Lord of the Rings: The Return of the King,"$1,140,682,011","$377,027,325",33.1%,"$763,654,686",66.9%,2003.csv,2003
2,Finding Nemo,"$871,014,978","$339,714,978",39%,"$531,300,000",61%,2003.csv,2003
3,The Matrix Reloaded,"$739,412,035","$281,576,461",38.1%,"$457,835,574",61.9%,2003.csv,2003
4,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015","$305,413,918",46.7%,"$348,850,097",53.3%,2003.csv,2003
5,Bruce Almighty,"$484,592,874","$242,829,261",50.1%,"$241,763,613",49.9%,2003.csv,2003
6,The Last Samurai,"$454,627,263","$111,127,263",24.4%,"$343,500,000",75.6%,2003.csv,2003
7,Terminator 3: Rise of the Machines,"$433,371,112","$150,371,112",34.7%,"$283,000,000",65.3%,2003.csv,2003
8,The Matrix Revolutions,"$427,343,298","$139,313,948",32.6%,"$288,029,350",67.4%,2003.csv,2003
9,X2: X-Men United,"$407,711,549","$214,949,694",52.7%,"$192,761,855",47.3%,2003.csv,2003
10,Bad Boys II,"$273,339,556","$138,608,444",50.7%,"$134,731,112",49.3%,2003.csv,2003
11,Something's Gotta Give,"$265,328,738","$124,728,738",47%,"$140,600,000",53%,2003.csv,2003
12,Charlie's Angels: Full Throttle,"$259,175,788","$100,830,111",38.9%,"$158,345,677",61.1%,2003.csv,2003
13,The Village,"$256,697,520","$114,197,520",44.5%,"$142,500,000",55.5%,2003.csv,2003
14,Brother Bear,"$250,397,798","$85,336,277",34.1%,"$165,061,521",65.9%,2003.csv,2003
15,Hulk,"$245,285,165","$132,177,234",53.9%,"$113,107,931",46.1%,2003.csv,2003
16,Love Actually,"$244,931,766","$59,696,144",24.4%,"$185,235,622",75.6%,2003.csv,2003
17,2 Fast 2 Furious,"$236,350,661","$127,154,901",53.8%,"$109,195,760",46.2%,2003.csv,2003
18,American Wedding,"$232,722,935","$104,565,114",44.9%,"$128,157,821",55.1%,2003.csv,2003
19,Scary Movie 3,"$220,673,217","$110,003,217",49.8%,"$110,670,000",50.2%,2003.csv,2003
20,Elf,"$220,443,451","$173,398,518",78.7%,"$47,044,933",21.3%,2003.csv,2003
21,Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",44.4%,"$117,694,615",55.6%,2003.csv,2003
22,S.W.A.T.,"$207,725,639","$116,934,650",56.3%,"$90,790,989",43.7%,2003.csv,2003
23,Spy Kids 3-D: Game Over,"$197,011,982","$111,761,982",56.7%,"$85,250,000",43.3%,2003.csv,2003
24,Anger Management,"$195,745,823","$135,645,823",69.3%,"$60,100,000",30.7%,2003.csv,2003
25,Cheaper by the Dozen,"$190,212,113","$138,614,544",72.9%,"$51,597,569",27.1%,2003.csv,2003
26,The Haunted Mansion,"$182,290,266","$75,847,266",41.6%,"$106,443,000",58.4%,2003.csv,2003
27,Kill Bill: Vol. 1,"$180,899,045","$70,099,045",38.8%,"$110,800,000",61.2%,2003.csv,2003
28,The League of Extraordinary Gentlemen,"$179,265,204","$66,465,204",37.1%,"$112,800,000",62.9%,2003.csv,2003
29,Daredevil,"$179,179,718","$102,543,518",57.2%,"$76,636,200",42.8%,2003.csv,2003
30,How to Lose a Guy in 10 Days,"$177,502,387","$105,813,373",59.6%,"$71,689,014",40.4%,2003.csv,2003
31,The Italian Job,"$176,070,171","$106,128,601",60.3%,"$69,941,570",39.7%,2003.csv,2003
32,Cold Mountain,"$173,013,509","$95,636,509",55.3%,"$77,377,000",44.7%,2003.csv,2003
33,Bringing Down the House,"$164,729,679","$132,716,677",80.6%,"$32,013,002",19.4%,2003.csv,2003
34,Daddy Day Care,"$164,433,867","$104,297,061",63.4%,"$60,136,806",36.6%,2003.csv,2003
35,Freaky Friday,"$160,846,332","$110,230,332",68.5%,"$50,616,000",31.5%,2003.csv,2003
36,Johnny English,"$160,466,000","$28,082,366",17.5%,"$132,383,634",82.5%,2003.csv,2003
37,Lara Croft Tomb Raider: The Cradle of Life,"$160,099,222","$65,660,196",41%,"$94,439,026",59%,2003.csv,2003
38,Mystic River,"$156,595,191","$90,135,191",57.6%,"$66,460,000",42.4%,2003.csv,2003
39,Seabiscuit,"$148,336,445","$120,277,854",81.1%,"$28,058,591",18.9%,2003.csv,2003
40,Gothika,"$141,591,324","$59,694,580",42.2%,"$81,896,744",57.8%,2003.csv,2003
41,Mona Lisa Smile,"$141,337,989","$63,860,942",45.2%,"$77,477,047",54.8%,2003.csv,2003
42,The Jungle Book 2,"$135,703,599","$47,901,582",35.3%,"$87,802,017",64.7%,2003.csv,2003
43,The Cat in the Hat,"$133,960,541","$101,149,285",75.5%,"$32,811,256",24.5%,2003.csv,2003
44,School of Rock,"$131,095,614","$81,261,177",62%,"$49,834,437",38%,2003.csv,2003
45,"Legally Blonde 2: Red, White & Blonde","$124,914,842","$90,186,328",72.2%,"$34,728,514",27.8%,2003.csv,2003
46,Big Fish,"$123,218,424","$66,809,693",54.2%,"$56,408,731",45.8%,2003.csv,2003
47,Peter Pan,"$121,975,011","$48,462,608",39.7%,"$73,512,403",60.3%,2003.csv,2003
48,Intolerable Cruelty,"$120,801,243","$35,327,628",29.2%,"$85,473,615",70.8%,2003.csv,2003
49,Lost in Translation,"$118,685,453","$44,585,453",37.6%,"$74,100,000",62.4%,2003.csv,2003
50,Paycheck,"$117,248,958","$53,790,451",45.9%,"$63,458,507",54.1%,2003.csv,2003
51,Freddy vs. Jason,"$116,632,628","$82,622,655",70.8%,"$34,009,973",29.2%,2003.csv,2003
52,The Texas Chainsaw Massacre,"$107,071,655","$80,571,655",75.3%,"$26,500,000",24.7%,2003.csv,2003
53,Just Married,"$101,564,935","$56,127,162",55.3%,"$45,437,773",44.7%,2003.csv,2003
54,The Recruit,"$101,191,884","$52,802,140",52.2%,"$48,389,744",47.8%,2003.csv,2003
55,Once Upon a Time in Mexico,"$98,096,026","$56,359,780",57.5%,"$41,736,246",42.5%,2003.csv,2003
56,Phone Booth,"$97,837,138","$46,566,212",47.6%,"$51,270,926",52.4%,2003.csv,2003
57,Underworld,"$95,708,457","$51,970,690",54.3%,"$43,737,767",45.7%,2003.csv,2003
58,Calendar Girls,"$93,400,759","$31,041,759",33.2%,"$62,359,000",66.8%,2003.csv,2003
59,Final Destination 2,"$90,941,129","$46,961,214",51.6%,"$43,979,915",48.4%,2003.csv,2003
60,Identity,"$90,259,536","$52,159,536",57.8%,"$38,100,000",42.2%,2003.csv,2003
61,Kangaroo Jack,"$88,929,111","$66,934,963",75.3%,"$21,994,148",24.7%,2003.csv,2003
62,Shanghai Knights,"$88,323,487","$60,476,872",68.5%,"$27,846,615",31.5%,2003.csv,2003
63,Old School,"$87,135,520","$75,585,093",86.7%,"$11,550,427",13.3%,2003.csv,2003
64,Tears of the Sun,"$86,468,162","$43,734,876",50.6%,"$42,733,286",49.4%,2003.csv,2003
65,Sinbad: Legend of the Seven Seas,"$80,773,077","$26,483,452",32.8%,"$54,289,625",67.2%,2003.csv,2003
66,The Rundown,"$80,657,921","$47,726,342",59.2%,"$32,931,579",40.8%,2003.csv,2003
67,Runaway Jury,"$80,154,140","$49,443,628",61.7%,"$30,710,512",38.3%,2003.csv,2003
68,Good Bye Lenin!,"$79,316,957","$4,064,200",5.1%,"$75,252,757",94.9%,2003.csv,2003
69,Bad Santa,"$76,488,889","$60,060,328",78.5%,"$16,428,561",21.5%,2003.csv,2003
70,Dreamcatcher,"$75,715,436","$33,715,436",44.5%,"$42,000,000",55.5%,2003.csv,2003
71,The Core,"$73,498,611","$31,186,896",42.4%,"$42,311,715",57.6%,2003.csv,2003
72,Holes,"$71,406,573","$67,406,573",94.4%,"$4,000,000",5.6%,2003.csv,2003
73,Looney Tunes: Back in Action,"$68,514,844","$20,991,364",30.6%,"$47,523,480",69.4%,2003.csv,2003
74,Open Range,"$68,296,293","$58,331,254",85.4%,"$9,965,039",14.6%,2003.csv,2003
75,Stuck on You,"$65,784,503","$33,832,741",51.4%,"$31,951,762",48.6%,2003.csv,2003
76,Matchstick Men,"$65,565,672","$36,906,460",56.3%,"$28,659,212",43.7%,2003.csv,2003
77,Taxi 3,"$65,497,208","$497,208",0.8%,"$65,000,000",99.2%,2003.csv,2003
78,Jeepers Creepers 2,"$63,102,666","$35,667,218",56.5%,"$27,435,448",43.5%,2003.csv,2003
79,Piglet's Big Movie,"$62,870,546","$23,103,423",36.7%,"$39,767,123",63.3%,2003.csv,2003
80,Honey,"$62,228,395","$30,308,417",48.7%,"$31,919,978",51.3%,2003.csv,2003
81,21 Grams,"$60,427,839","$16,290,476",27%,"$44,137,363",73%,2003.csv,2003
82,Under the Tuscan Sun,"$58,878,723","$43,610,723",74.1%,"$15,268,000",25.9%,2003.csv,2003
83,Agent Cody Banks,"$58,795,814","$47,938,330",81.5%,"$10,857,484",18.5%,2003.csv,2003
84,Monster,"$58,469,210","$34,469,210",59%,"$24,000,000",41%,2003.csv,2003
85,Cradle 2 the Grave,"$56,489,558","$34,712,347",61.4%,"$21,777,211",38.6%,2003.csv,2003
86,Lizzie McGuire,"$55,534,455","$42,734,455",77%,"$12,800,000",23%,2003.csv,2003
87,Out of Time,"$55,495,563","$41,088,845",74%,"$14,406,718",26%,2003.csv,2003
88,Rugrats Go Wild,"$55,250,496","$39,402,572",71.3%,"$15,847,924",28.7%,2003.csv,2003
89,Radio,"$53,293,628","$52,333,738",98.2%,"$959,890",1.8%,2003.csv,2003
90,Hollywood Homicide,"$51,142,659","$30,940,691",60.5%,"$20,201,968",39.5%,2003.csv,2003
91,What a Girl Wants,"$50,732,139","$36,105,433",71.2%,"$14,626,706",28.8%,2003.csv,2003
92,National Security,"$50,097,949","$36,381,186",72.6%,"$13,716,763",27.4%,2003.csv,2003
93,Secondhand Lions,"$48,249,017","$42,070,939",87.2%,"$6,178,078",12.8%,2003.csv,2003
94,Darkness Falls,"$47,488,536","$32,551,396",68.5%,"$14,937,140",31.5%,2003.csv,2003
95,Torque,"$46,546,197","$21,215,059",45.6%,"$25,331,138",54.4%,2003.csv,2003
96,The Hunted,"$46,061,847","$34,244,097",74.3%,"$11,817,750",25.7%,2003.csv,2003
97,Good Boy,"$45,312,217","$37,667,746",83.1%,"$7,644,471",16.9%,2003.csv,2003
98,Uptown Girls,"$44,617,342","$37,182,494",83.3%,"$7,434,848",16.7%,2003.csv,2003
99,A Man Apart,"$44,350,926","$26,736,098",60.3%,"$17,614,828",39.7%,2003.csv,2003
100,Timeline,"$43,935,763","$19,481,943",44.3%,"$24,453,820",55.7%,2003.csv,2003
101,Basic,"$42,792,561","$26,793,311",62.6%,"$15,999,250",37.4%,2003.csv,2003
102,Whale Rider,"$41,062,976","$20,779,666",50.6%,"$20,283,310",49.4%,2003.csv,2003
103,Down with Love,"$39,468,111","$20,305,251",51.4%,"$19,162,860",48.6%,2003.csv,2003
104,Dumb and Dumberer: When Harry Met Lloyd,"$39,267,515","$26,276,465",66.9%,"$12,991,050",33.1%,2003.csv,2003
105,The Life of David Gale,"$38,955,598","$19,955,598",51.2%,"$19,000,000",48.8%,2003.csv,2003
106,Head of State,"$38,620,484","$38,125,247",98.7%,"$495,237",1.3%,2003.csv,2003
107,The Missing,"$38,364,277","$27,011,180",70.4%,"$11,353,097",29.6%,2003.csv,2003
108,Bulletproof Monk,"$37,713,879","$23,358,708",61.9%,"$14,355,171",38.1%,2003.csv,2003
109,Malibu's Most Wanted,"$34,622,504","$34,432,201",99.5%,"$190,303",0.5%,2003.csv,2003
